placeholder,name,type,building_type,school_type,latlon
,Art Culture & Technology (ACT),building,Academic Units & Schools,Arts,"33.65071192475636, -117.84493567558403"
,Art Studio (ART),building,Academic Units & Schools,Arts,"33.6501703060485, -117.84486123616755"
,Arts Annex (ARAN),building,Academic Units & Schools,Arts,"33.64809598728669, -117.84701908374461"
,Arts Instruction & Technology Resource Center (AITR),building,Academic Units & Schools,Arts,"33.650121437180026, -117.84392364493259"
,Choral Studio,building,Academic Units & Schools,Arts,"33.64975585150463, -117.84404401794662"
,Claire Trevor Theatre (CTT),building,Academic Units & Schools,Arts,"33.6496034142118, -117.84524667191855"
,Contemporary Arts Center (CAC),building,Academic Units & Schools,Arts,"33.650203525979734, -117.84522414308286"
,Drama Building (DRA),building,Academic Units & Schools,Arts,"33.65073748688517, -117.84476937561789"
,Humanities Interim Classroom Facility (HICF) | Studio Art Trailer,building,Academic Units & Schools,"Arts, Humanities","33.647156715303026, -117.84688990445373"
,Irvine Barclay Theatre,building,Academic Units & Schools,Arts,"33.64941588356124, -117.84087467561793"
,Little Theatre,building,Academic Units & Schools,Arts,"33.647232985431806, -117.84396541376667"
,Mesa Arts Building (MAB),building,Academic Units & Schools,Arts,"33.65037889452727, -117.84630567376824"
,Music & Media Building (MM),building,Academic Units & Schools,Arts,"33.64943085883313, -117.8444717314397"
,Production Studio,building,Academic Units & Schools,Arts,"33.6499117888561, -117.84572537376836"
,Robert Cohen Theatre & Dance Studios (DS),building,Academic Units & Schools,Arts,"33.64933459744514, -117.8455585848598"
,Sculpture & Ceramic Studios (SCS) | Nixon Theatre,building,Academic Units & Schools,Arts,"33.6502716293864, -117.84449288527912"
,Studio Four (STU4),building,Academic Units & Schools,Arts,"33.65019215764614, -117.84568957708015"
,University Art Gallery (UAG) | Beall Center for Art + Technology,building,Academic Units & Schools,Arts,"33.64999994662046, -117.84422868060402"
,William J. Gillespie Performance Studios (PSTU),building,Academic Units & Schools,Arts,"33.650782093690246, -117.84515968726116"
,Winifred Smith Hall (WSH),building,Academic Units & Schools,Arts,"33.649772351461834, -117.84438495842566"
,Yurt Dance Studio,building,Academic Units & Schools,Arts,"33.64225563479752, -117.82798387376832"
,Anteater Learning Pavilion (ALP),building,Academic Units & Schools,Biological Sciences,"33.64734195776701, -117.8443670872613"
,Biological Sciences III (BS3),building,Academic Units & Schools,Biological Sciences,"33.645385678546084, -117.84580013143965"
,Bison Modular (BIMO),building,Academic Units & Schools,"Biological Sciences, Pharmaceutical Sciences","33.64397966648913, -117.84639878726134"
,Bonney Research Laboratory (BRL),building,"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64621481240418, -117.84616590912556"
,Center for the Neurobiology of Learning & Memory Annex (CNLM),building,"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64675407060527, -117.846413702604"
,Greenhouse,building,"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64737685893531, -117.8454015759827"
,Howard Schneiderman Lecture Hall (HSLH),building,Academic Units & Schools,Biological Sciences,"33.645773924941174, -117.8447063449327"
,McGaugh Hall (MH),building,Academic Units & Schools,Biological Sciences,"33.645347141788584, -117.84476283143974"
,Qureshey Research Laboratory (QRL),building,"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64660815633746, -117.84568644493268"
,Steinhaus Hall (SH),building,Academic Units & Schools,"Biological Sciences, Pharmaceutical Sciences","33.64628586190402, -117.8449312171413"
,Merage School of Business (SB1),building,Academic Units & Schools,Business,"33.646913041906075, -117.83781873143961"
,Merage School of Business II (SB2),building,Academic Units & Schools,Business,"33.64668317331686, -117.83806877376834"
,Multipurpose Academic & Administrative Building (MPAA),building,"Academic Units & Schools, Administrative","Business, Law","33.64713418756152, -117.83700119347952"
,Education Building (EDUC),building,Academic Units & Schools,Education,"33.64724971873234, -117.83588570957939"
,Engineering & Computing Trailer (ECT),building,Academic Units & Schools,Engineering,"33.64408022296894, -117.84013942114062"
,Engineering Gateway (EG),building,"Academic Units & Schools, Administrative",Engineering,"33.64296437256721, -117.83963457070591"
,Engineering Hall (EH),building,"Academic Units & Schools, Administrative",Engineering,"33.643757993578454, -117.84146578596635"
,Engineering Laboratory Facility (ELF),building,"Academic Units & Schools, Research Facilities",Engineering,"33.64380038039391, -117.83990098883307"
,Engineering Lecture Hall (ELH),building,Academic Units & Schools,Engineering,"33.644480786977844, -117.84070900336457"
,Engineering Tower (ET),building,Academic Units & Schools,Engineering,"33.644814941299124, -117.84103267176462"
,Interdisciplinary Science and Engineering Building (ISEB),building,"Academic Units & Schools, Research Facilities","Engineering, Information & Computer Sciences, Physical Sciences","33.64316227499285, -117.84368525648306"
,Interim Classroom Facility (ICF),building,Academic Units & Schools,"Engineering, Information & Computer Sciences","33.64455071266582, -117.84002059908178"
,McDonnell Douglas Engineering Auditorium (MDE),building,Academic Units & Schools,Engineering,"33.64386593733133, -117.84053476797757"
,Rockwell Engineering Center (REC),building,Academic Units & Schools,Engineering,"33.64409336335397, -117.84058797400462"
,Humanities Gateway (HG),building,"Academic Units & Schools, Research Facilities",Humanities,"33.64833693004333, -117.84434000232858"
,Humanities Hall (HH),building,Academic Units & Schools,Humanities,"33.647423838330916, -117.84343931762359"
