Building_name,Building_type,School_type,Latlon
Art Culture & Technology (ACT),Academic Units & Schools,Arts,"33.65071192475636, -117.84493567558403"
Art Studio (ART),Academic Units & Schools,Arts,"33.6501703060485, -117.84486123616755"
Arts Annex (ARAN),Academic Units & Schools,Arts,"33.64809598728669, -117.84701908374461"
Arts Instruction & Technology Resource Center (AITR),Academic Units & Schools,Arts,"33.650121437180026, -117.84392364493259"
Choral Studio,Academic Units & Schools,Arts,"33.64975585150463, -117.84404401794662"
Claire Trevor Theatre (CTT),Academic Units & Schools,Arts,"33.6496034142118, -117.84524667191855"
Contemporary Arts Center (CAC),Academic Units & Schools,Arts,"33.650203525979734, -117.84522414308286"
Drama Building (DRA),Academic Units & Schools,Arts,"33.65073748688517, -117.84476937561789"
Humanities Interim Classroom Facility (HICF) | Studio Art Trailer,Academic Units & Schools,"Arts, Humanities","33.647156715303026, -117.84688990445373"
Irvine Barclay Theatre,Academic Units & Schools,Arts,"33.64941588356124, -117.84087467561793"
Little Theatre,Academic Units & Schools,Arts,"33.647232985431806, -117.84396541376667"
Mesa Arts Building (MAB),Academic Units & Schools,Arts,"33.65037889452727, -117.84630567376824"
Music & Media Building (MM),Academic Units & Schools,Arts,"33.64943085883313, -117.8444717314397"
Production Studio,Academic Units & Schools,Arts,"33.6499117888561, -117.84572537376836"
Robert Cohen Theatre & Dance Studios (DS),Academic Units & Schools,Arts,"33.64933459744514, -117.8455585848598"
Sculpture & Ceramic Studios (SCS) | Nixon Theatre,Academic Units & Schools,Arts,"33.6502716293864, -117.84449288527912"
Studio Four (STU4),Academic Units & Schools,Arts,"33.65019215764614, -117.84568957708015"
University Art Gallery (UAG) | Beall Center for Art + Technology,Academic Units & Schools,Arts,"33.64999994662046, -117.84422868060402"
William J. Gillespie Performance Studios (PSTU),Academic Units & Schools,Arts,"33.650782093690246, -117.84515968726116"
Winifred Smith Hall (WSH),Academic Units & Schools,Arts,"33.649772351461834, -117.84438495842566"
Yurt Dance Studio,Academic Units & Schools,Arts,"33.64225563479752, -117.82798387376832"
Anteater Learning Pavilion (ALP),Academic Units & Schools,Biological Sciences,"33.64734195776701, -117.8443670872613"
Biological Sciences III (BS3),Academic Units & Schools,Biological Sciences,"33.645385678546084, -117.84580013143965"
Bison Modular (BIMO),Academic Units & Schools,"Biological Sciences, Pharmaceutical Sciences","33.64397966648913, -117.84639878726134"
Bonney Research Laboratory (BRL),"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64621481240418, -117.84616590912556"
Center for the Neurobiology of Learning & Memory Annex (CNLM),"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64675407060527, -117.846413702604"
Greenhouse,"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64737685893531, -117.8454015759827"
Howard Schneiderman Lecture Hall (HSLH),Academic Units & Schools,Biological Sciences,"33.645773924941174, -117.8447063449327"
McGaugh Hall (MH),Academic Units & Schools,Biological Sciences,"33.645347141788584, -117.84476283143974"
Qureshey Research Laboratory (QRL),"Academic Units & Schools, Research Facilities",Biological Sciences,"33.64660815633746, -117.84568644493268"
Steinhaus Hall (SH),Academic Units & Schools,"Biological Sciences, Pharmaceutical Sciences","33.64628586190402, -117.8449312171413"
Merage School of Business (SB1),Academic Units & Schools,Business,"33.646913041906075, -117.83781873143961"
Merage School of Business II (SB2),Academic Units & Schools,Business,"33.64668317331686, -117.83806877376834"
Multipurpose Academic & Administrative Building (MPAA),"Academic Units & Schools, Administrative","Business, Law",
Education Building (EDUC),Academic Units & Schools,Education,
Engineering & Computing Trailer (ECT),Academic Units & Schools,Engineering,
Engineering Gateway (EG),"Academic Units & Schools, Administrative",Engineering,
Engineering Hall (EH),"Academic Units & Schools, Administrative",Engineering,
Engineering Laboratory Facility (ELF),"Academic Units & Schools, Research Facilities",Engineering,
Engineering Lecture Hall (ELH),Academic Units & Schools,Engineering,
Engineering Tower (ET),Academic Units & Schools,Engineering,
Interdisciplinary Science and Engineering Building (ISEB),"Academic Units & Schools, Research Facilities","Engineering, Information & Computer Sciences, Physical Sciences",
Interim Classroom Facility (ICF),Academic Units & Schools,"Engineering, Information & Computer Sciences",
McDonnell Douglas Engineering Auditorium (MDE),Academic Units & Schools,Engineering,
Rockwell Engineering Center (REC),Academic Units & Schools,Engineering,
Humanities Gateway (HG),"Academic Units & Schools, Research Facilities",Humanities,
Humanities Hall (HH),Academic Units & Schools,Humanities,
Humanities Instructional Building (HIB),Academic Units & Schools,Humanities,
Krieger Hall (KH),Academic Units & Schools,Humanities,
Donald Bren Hall (DBH),"Academic Units & Schools, Administrative",Information & Computer Sciences,
Information & Computer Science (ICS),Academic Units & Schools,Information & Computer Sciences,
Information & Computer Science 2 (ICS2),Academic Units & Schools,Information & Computer Sciences,
Law Building (LAW),Academic Units & Schools,Law,
Beckman Laser Institute (BLI),"Academic Units & Schools, Research Facilities",Medicine,
Gavin Herbert Eye Institute,"Academic Units & Schools, Research Facilities",Medicine,
